month,day,temp,RH,wind,rain,class
9,7,23.9,32.0,6.7,0.0,1
10,1,19.1,32.0,4.0,0.0,1
2,7,12.4,53.0,2.2,0.0,1
10,1,16.8,45.0,4.5,0.0,1
8,5,20.8,34.0,4.9,0.0,1
9,2,17.6,46.0,3.1,0.0,1
3,7,11.5,39.0,5.8,0.0,1
9,1,21.0,42.0,2.2,0.0,1
3,6,13.3,42.0,0.9,0.0,1
3,7,11.5,60.0,4.0,0.0,1
3,5,11.7,33.0,4.0,0.0,1
8,4,24.2,28.0,2.7,0.0,1
8,2,24.6,22.0,4.5,0.0,1
9,3,24.3,25.0,4.0,0.0,1
8,2,24.6,22.0,4.5,0.0,1
8,5,23.5,36.0,5.4,0.0,1
4,4,5.8,54.0,5.8,0.0,1
9,4,21.5,15.0,0.9,0.0,1
9,2,13.9,59.0,6.3,0.0,1
9,1,22.6,38.0,3.6,0.0,1
9,2,21.6,33.0,2.2,0.0,1
3,7,12.4,54.0,3.6,0.0,1
2,7,8.8,68.0,2.2,0.0,1
10,3,20.2,37.0,2.7,0.0,1
3,6,15.1,64.0,4.0,0.0,1
9,4,22.1,34.0,1.8,0.0,1
8,6,22.9,31.0,7.2,0.0,1
9,2,20.7,37.0,2.2,0.0,1
9,5,19.6,33.0,6.3,0.0,1
9,4,23.2,26.0,4.9,0.0,1
10,6,18.4,25.0,3.1,0.0,1
8,6,5.1,96.0,5.8,0.0,1
9,5,20.1,47.0,4.9,0.0,1
3,1,11.0,46.0,5.8,0.0,1
3,6,17.0,27.0,4.9,0.0,1
3,6,17.0,27.0,4.9,0.0,1
9,7,16.9,60.0,1.3,0.0,1
9,1,12.4,73.0,6.3,0.0,1
9,3,19.4,19.0,1.3,0.0,1
3,1,15.2,27.0,3.1,0.0,1
8,7,16.2,59.0,3.1,0.0,1
9,5,18.6,49.0,3.6,0.0,1
3,1,11.0,46.0,5.8,0.0,1
7,5,13.4,79.0,3.6,0.0,1
9,3,15.4,57.0,4.5,0.0,1
9,7,22.9,39.0,4.9,0.0,1
10,1,16.1,44.0,4.0,0.0,1
8,6,20.1,34.0,4.5,0.0,1
9,7,28.3,26.0,3.1,0.0,1
8,6,16.4,43.0,4.0,0.0,1
9,3,26.4,21.0,4.5,0.0,1
9,7,27.8,27.0,3.1,0.0,1
9,2,18.7,43.0,2.7,0.0,1
9,2,24.3,36.0,3.1,0.0,1
9,6,17.7,25.0,3.1,0.0,1
8,7,19.6,41.0,5.8,0.0,1
9,6,18.2,46.0,1.8,0.0,1
9,2,18.8,40.0,2.2,0.0,1
9,6,25.1,27.0,4.0,0.0,1
4,7,13.4,75.0,1.8,0.0,1
4,3,15.2,51.0,2.7,0.0,1
4,5,16.7,20.0,3.1,0.0,1
8,7,15.4,66.0,4.0,0.0,1
8,7,21.9,73.0,7.6,1.0,1
8,7,22.4,54.0,7.6,0.0,1
8,7,26.8,38.0,6.3,0.0,1
8,7,25.7,39.0,5.4,0.0,1
8,3,20.7,70.0,2.2,0.0,1
8,3,28.7,28.0,2.7,0.0,1
8,3,21.7,40.0,0.4,0.0,1
8,3,26.8,25.0,3.1,0.0,1
8,3,24.0,36.0,3.1,0.0,1
8,3,22.1,37.0,3.6,0.0,1
8,4,21.4,38.0,2.7,0.0,1
8,4,18.9,41.0,3.1,0.0,1
8,4,22.3,46.0,4.0,0.0,1
8,6,23.9,41.0,2.2,0.0,1
8,6,21.4,44.0,2.7,0.0,1
8,6,20.6,59.0,0.9,0.0,1
8,6,23.7,40.0,1.8,0.0,1
8,1,28.3,32.0,4.0,0.0,1
8,5,11.2,84.0,7.6,0.0,1
8,5,21.4,42.0,3.1,0.0,1
8,5,19.3,39.0,3.6,0.0,1
8,5,21.8,53.0,3.1,0.0,1
8,2,22.1,54.0,7.6,0.0,1
8,2,19.4,55.0,4.0,0.0,1
8,2,23.7,24.0,3.1,0.0,1
8,2,21.0,32.0,3.1,0.0,1
8,2,19.1,53.0,2.7,0.0,1
8,2,21.8,56.0,3.1,0.0,1
8,2,20.1,58.0,4.5,0.0,1
8,2,20.2,47.0,4.0,0.0,1
12,7,4.8,57.0,8.5,0.0,1
12,3,5.1,61.0,8.0,0.0,1
12,4,5.1,61.0,4.9,0.0,1
12,1,4.6,21.0,8.5,0.0,1
12,1,4.6,21.0,8.5,0.0,1
12,1,4.6,21.0,8.5,0.0,1
12,1,4.6,21.0,8.5,0.0,1
12,5,2.2,59.0,4.9,0.0,1
12,2,5.1,24.0,8.5,0.0,1
2,7,4.2,51.0,4.0,0.0,1
2,3,8.8,35.0,3.1,0.0,1
2,5,7.5,46.0,8.0,0.0,1
7,7,23.4,40.0,6.3,0.0,1
7,3,12.6,90.0,7.6,0.2,1
7,6,22.1,49.0,2.7,0.0,1
7,6,24.2,32.0,1.8,0.0,1
7,6,24.3,30.0,1.8,0.0,1
7,6,18.7,53.0,1.8,0.0,1
7,6,25.3,39.0,0.9,0.0,1
7,5,22.9,40.0,1.3,0.0,1
7,2,26.9,28.0,5.4,0.0,1
7,2,17.1,67.0,3.6,0.0,1
6,7,22.2,48.0,1.3,0.0,1
6,7,14.3,46.0,1.8,0.0,1
6,7,15.4,45.0,2.2,0.0,1
6,3,19.6,43.0,4.9,0.0,1
6,6,10.6,90.0,2.7,0.0,1
6,1,20.7,25.0,4.9,0.0,1
6,1,19.1,39.0,5.4,0.0,1
6,5,19.2,38.0,4.5,0.0,1
6,5,19.2,38.0,4.5,0.0,1
5,6,11.3,94.0,4.9,0.0,1
9,7,19.0,52.0,2.2,0.0,1
9,7,17.1,53.0,5.4,0.0,1
9,7,23.8,35.0,3.6,0.0,1
9,7,16.0,45.0,1.8,0.0,1
9,7,24.9,27.0,2.2,0.0,1
9,7,25.3,27.0,2.7,0.0,1
9,7,24.8,28.0,1.8,0.0,1
9,7,12.2,78.0,6.3,0.0,1
9,3,24.3,27.0,4.9,0.0,1
9,3,19.7,41.0,1.8,0.0,1
9,3,18.5,30.0,2.7,0.0,1
9,4,18.6,24.0,5.8,0.0,1
9,4,19.2,24.0,4.9,0.0,1
9,4,21.6,27.0,2.2,0.0,1
9,4,21.6,28.0,6.3,0.0,1
9,4,18.9,34.0,7.2,0.0,1
9,4,16.8,28.0,4.0,0.0,1
9,4,16.8,28.0,4.0,0.0,1
9,4,12.9,39.0,2.7,0.0,1
9,4,13.7,56.0,1.8,0.0,1
9,6,24.2,27.0,3.1,0.0,1
9,6,24.1,27.0,3.1,0.0,1
9,6,21.2,32.0,2.2,0.0,1
9,6,19.7,35.0,1.8,0.0,1
9,6,23.5,27.0,4.0,0.0,1
9,6,24.2,27.0,3.1,0.0,1
9,6,21.5,28.0,4.5,0.0,1
9,6,17.1,41.0,2.2,0.0,1
9,1,18.1,54.0,3.1,0.0,1
9,1,18.0,51.0,5.4,0.0,1
9,1,9.8,86.0,1.8,0.0,1
9,1,19.3,44.0,2.2,0.0,1
9,1,23.0,34.0,2.2,0.0,1
9,1,22.7,35.0,2.2,0.0,1
9,1,20.4,41.0,1.8,0.0,1
9,1,19.3,44.0,2.2,0.0,1
9,1,15.7,51.0,2.2,0.0,1
9,1,20.6,37.0,1.8,0.0,1
9,1,15.9,51.0,4.5,0.0,1
9,1,12.2,66.0,4.9,0.0,1
9,1,16.8,43.0,3.1,0.0,1
9,1,21.3,35.0,2.2,0.0,1
9,5,10.1,75.0,3.6,0.0,1
9,5,17.4,57.0,4.5,0.0,1
9,5,12.8,64.0,3.6,0.0,1
9,5,10.1,75.0,3.6,0.0,1
9,5,15.4,53.0,6.3,0.0,1
9,5,20.6,43.0,3.6,0.0,1
9,5,19.8,47.0,2.7,0.0,1
9,5,18.7,50.0,2.2,0.0,1
9,5,20.8,35.0,4.9,0.0,1
9,5,20.8,35.0,4.9,0.0,1
9,5,15.9,55.0,3.6,0.0,1
9,5,19.7,39.0,2.7,0.0,1
9,5,21.1,39.0,2.2,0.0,1
9,5,18.4,42.0,2.2,0.0,1
9,5,17.3,45.0,4.0,0.0,1
9,5,15.2,64.0,3.1,0.0,1
9,2,15.9,53.0,2.2,0.0,1
9,2,21.1,35.0,2.7,0.0,1
9,2,19.6,45.0,3.1,0.0,1
9,2,15.9,38.0,5.4,0.0,1
9,2,16.4,27.0,3.6,0.0,1
9,6,16.8,47.0,4.9,0.0,1
9,7,13.8,77.0,7.6,0.0,1
9,7,13.8,77.0,7.6,0.0,1
7,3,14.2,58.0,4.0,0.0,1
8,7,10.4,75.0,0.9,0.0,1
8,4,20.3,42.0,2.7,0.0,1
9,5,10.3,78.0,4.0,0.0,1
9,6,15.4,57.0,4.9,0.0,1
8,1,21.1,54.0,2.2,0.0,1
8,6,21.9,42.0,2.2,0.0,1
3,4,8.7,51.0,5.8,0.0,1
1,7,5.2,100.0,0.9,0.0,1
7,3,19.3,39.0,7.2,0.0,1
8,4,16.2,63.0,2.7,0.0,1
8,3,28.2,29.0,1.8,0.0,1
8,4,20.5,58.0,2.7,0.0,1
8,6,21.3,44.0,4.5,0.0,1
8,7,20.9,50.0,2.2,0.0,1
9,7,20.6,55.0,5.4,0.0,1
3,4,11.6,48.0,5.4,0.0,1
8,5,23.3,34.0,3.1,0.0,1
8,5,23.3,34.0,3.1,0.0,1
2,1,7.5,71.0,6.3,0.0,1
9,5,20.7,46.0,2.7,0.0,1
9,7,21.9,43.0,4.0,0.0,1
3,2,15.2,19.0,7.6,0.0,1
2,1,5.3,68.0,1.8,0.0,1
2,7,10.1,62.0,1.8,0.0,1
9,7,20.4,55.0,4.9,0.0,1
8,7,24.3,33.0,3.6,0.0,1
8,6,25.9,32.0,3.1,0.0,1
6,3,28.0,34.0,4.5,0.0,1
6,3,28.0,34.0,4.5,0.0,1
9,4,22.8,46.0,4.0,0.0,1
8,5,25.0,36.0,4.0,0.0,1
8,4,21.3,41.0,3.6,0.0,1
9,3,21.8,34.0,2.2,0.0,1
8,2,27.9,27.0,2.2,0.0,1
9,6,17.0,67.0,4.9,0.0,1
2,6,14.2,46.0,4.0,0.0,1
9,5,19.9,44.0,3.1,0.0,1
7,2,23.4,31.0,5.4,0.0,1
2,5,14.7,42.0,2.7,0.0,1
2,5,8.2,53.0,9.4,0.0,1
7,1,22.8,27.0,4.5,0.0,1
8,6,26.4,33.0,3.6,0.0,1
8,7,24.1,50.0,4.0,0.0,1
8,4,27.5,27.0,4.9,0.0,1
7,2,26.3,39.0,3.1,0.0,1
3,3,13.8,24.0,5.8,0.0,1
8,7,24.9,42.0,5.4,0.0,1
8,7,24.8,36.0,4.0,0.0,1
8,3,26.2,36.0,4.5,0.0,1
8,3,30.8,19.0,4.5,0.0,1
7,7,29.3,27.0,3.6,0.0,1
9,6,22.3,48.0,4.0,0.0,1
8,6,26.9,31.0,3.6,0.0,1
8,4,20.4,56.0,2.2,0.0,1
8,4,20.4,56.0,2.2,0.0,1
8,1,27.9,33.0,2.2,0.0,1
8,4,26.2,34.0,5.8,0.0,1
8,7,24.6,44.0,4.0,0.0,1
9,4,19.4,45.0,3.6,0.0,1
8,6,23.3,40.0,4.0,0.0,1
8,4,23.9,38.0,6.7,0.0,1
8,7,20.9,66.0,4.9,0.0,1
8,5,22.2,45.0,3.6,0.0,1
7,6,23.8,51.0,1.8,0.0,1
8,1,26.8,35.0,1.3,0.0,1
8,6,14.2,73.0,2.7,0.0,1
8,6,23.6,53.0,4.0,0.0,1
9,5,19.1,46.0,2.2,0.0,1
9,5,16.2,58.0,3.6,0.0,1
8,1,25.5,29.0,1.8,0.0,1
4,1,10.9,64.0,3.1,0.0,1
7,5,14.8,78.0,8.0,0.0,1
9,5,16.2,58.0,3.6,0.0,1
8,7,17.3,80.0,4.5,0.0,1
8,7,19.1,70.0,2.2,0.0,1
3,3,8.9,35.0,8.0,0.0,1
9,3,10.5,77.0,4.0,0.0,1
8,7,19.3,61.0,4.9,0.0,1
8,3,23.4,49.0,5.4,0.0,1
8,5,11.8,88.0,4.9,0.0,1
8,1,17.7,65.0,4.0,0.0,1
8,4,17.4,54.0,3.1,0.0,1
8,4,16.8,56.0,3.1,0.0,1
7,1,17.9,48.0,2.7,0.0,1
8,4,16.6,59.0,2.7,0.0,1
8,3,19.9,50.0,4.0,0.0,1
8,6,18.9,64.0,4.9,0.0,1
8,6,15.5,72.0,8.0,0.0,1
8,6,18.9,64.0,4.9,0.0,1
8,6,18.9,64.0,4.9,0.0,1
9,7,14.5,76.0,7.6,0.0,1
2,2,4.6,82.0,6.3,0.0,1
2,2,5.1,77.0,5.4,0.0,1
2,6,4.6,59.0,0.9,0.0,1
3,1,10.2,45.0,5.8,0.0,1
3,3,11.2,41.0,5.4,0.0,1
3,4,13.3,27.0,3.6,0.0,1
4,7,13.7,33.0,9.4,0.0,1
4,7,17.6,27.0,5.8,0.0,1
5,5,18.0,40.0,4.0,0.0,1
6,1,14.3,79.0,4.0,0.0,1
6,6,24.5,50.0,3.1,0.0,1
6,4,26.4,35.0,2.7,0.0,1
6,4,22.7,40.0,9.4,0.0,1
7,4,27.2,28.0,1.3,0.0,1
7,7,26.1,45.0,4.0,0.0,1
7,7,18.2,82.0,4.5,0.0,1
7,1,22.6,57.0,4.9,0.0,1
7,4,30.2,25.0,4.5,0.0,1
7,4,30.2,22.0,4.9,0.0,1
8,7,23.4,40.0,5.8,0.0,1
8,7,31.0,27.0,5.4,0.0,1
8,7,33.1,25.0,4.0,0.0,1
8,1,30.6,28.0,3.6,0.0,1
8,2,24.1,43.0,6.3,0.0,1
8,2,26.4,34.0,3.6,0.0,1
8,2,19.4,71.0,7.6,0.0,1
8,3,20.6,58.0,1.3,0.0,1
8,3,28.7,33.0,4.0,0.0,1
8,4,32.4,21.0,4.5,0.0,1
8,5,32.4,27.0,2.2,0.0,1
8,5,27.5,29.0,4.5,0.0,1
8,6,30.8,30.0,4.9,0.0,1
8,1,23.9,42.0,2.2,0.0,1
8,1,32.6,26.0,3.1,0.0,1
8,2,32.3,27.0,2.2,0.0,1
8,2,33.3,26.0,2.7,0.0,1
8,2,27.3,63.0,4.9,6.4,1
8,2,21.6,65.0,4.9,0.8,1
8,2,21.6,65.0,4.9,0.8,1
8,2,20.7,69.0,4.9,0.4,1
8,3,29.2,30.0,4.9,0.0,1
8,3,28.9,29.0,4.9,0.0,1
8,4,26.7,35.0,1.8,0.0,1
8,5,18.5,73.0,8.5,0.0,1
8,5,25.9,41.0,3.6,0.0,1
8,5,25.9,41.0,3.6,0.0,1
8,5,21.1,71.0,7.6,1.4,1
8,5,18.2,62.0,5.4,0.0,1
8,7,27.8,35.0,2.7,0.0,1
8,7,27.8,32.0,2.7,0.0,1
8,7,21.9,71.0,5.8,0.0,1
8,7,21.2,70.0,6.7,0.0,1
8,6,25.6,42.0,4.0,0.0,1
11,2,11.8,31.0,4.5,0.0,1
10,7,16.5,32.0,2.0,0.0,0
4,1,14.6,44.0,2.0,0.0,0
6,1,15.0,74.0,4.0,0.0,0
1,3,9.9,83.0,0.0,0.2,0
6,7,22.7,28.0,5.0,0.0,0
5,1,6.8,73.0,3.0,0.0,0
10,6,11.8,96.0,0.0,0.3,0
8,5,16.2,57.0,0.0,0.0,0
12,1,8.1,77.0,1.0,0.0,0
8,7,17.2,72.0,1.0,0.0,0
10,2,9.0,72.0,1.0,0.0,0
2,6,1.1,91.0,0.0,0.0,0
11,5,9.6,97.0,1.0,0.0,0
12,7,3.5,94.0,0.0,0.0,0
9,7,26.8,32.0,1.0,0.0,0
1,1,8.6,96.0,1.0,0.0,0
3,5,10.3,95.0,6.0,3.0,0
3,3,11.1,52.0,1.0,0.0,0
4,1,15.6,42.0,2.0,0.0,0
7,7,16.1,72.0,1.0,0.0,0
10,1,2.8,77.0,4.0,0.0,0
3,4,8.7,51.0,1.0,0.0,0
8,6,26.3,29.0,4.0,0.0,0
10,2,15.1,43.0,2.0,0.0,0
4,4,21.3,27.0,3.0,0.0,0
5,6,6.6,88.0,1.0,3.0,0
2,3,10.5,81.0,6.0,0.0,0
8,7,21.4,38.0,2.0,0.0,0
3,6,6.2,79.0,4.0,5.0,0
10,4,15.4,35.0,2.0,0.0,0
4,7,7.1,76.0,3.0,0.0,0
12,2,6.6,90.0,3.0,0.5,0
9,2,20.2,28.0,2.0,0.0,0
4,6,19.0,39.0,2.0,0.0,0
10,6,11.0,85.0,2.0,2.0,0
11,3,4.2,68.0,0.0,0.0,0
10,4,17.5,59.0,1.0,0.0,0
5,2,7.6,99.0,1.0,2.0,0
11,2,2.3,97.0,0.0,0.0,0
12,7,7.9,92.0,3.0,0.0,0
10,5,13.6,69.0,2.0,0.0,0
4,5,9.8,51.0,2.0,0.0,0
7,3,28.9,34.0,3.0,0.0,0
12,5,10.8,69.0,0.0,0.0,0
8,4,13.9,69.0,3.0,0.0,0
3,4,0.0,82.0,0.0,0.0,0
3,4,0.1,85.0,1.0,0.0,0
10,1,7.5,95.0,0.0,0.0,0
6,3,34.8,24.0,4.0,0.0,0
8,5,34.3,28.0,3.0,0.0,0
11,3,7.4,93.0,1.0,0.0,0
1,4,12.0,81.0,5.0,0.0,0
10,7,11.1,97.0,3.0,1.0,0
10,7,12.8,64.0,0.0,0.0,0
10,7,21.8,47.0,4.0,0.0,0
11,4,15.9,63.0,2.0,0.0,0
4,1,2.9,92.0,0.0,0.0,0
11,5,5.4,98.0,0.0,0.0,0
8,5,29.1,25.0,2.0,0.0,0
1,6,1.7,71.0,3.0,0.0,0
1,2,4.9,82.0,5.0,0.0,0
9,4,11.9,81.0,0.0,0.0,0
5,1,17.2,48.0,2.0,0.0,0
10,2,15.3,75.0,0.0,0.0,0
12,5,7.3,63.0,0.0,0.0,0
5,7,15.4,73.0,1.0,0.0,0
9,6,16.5,80.0,2.0,0.0,0
8,7,25.5,39.0,2.0,0.0,0
8,1,21.2,51.0,3.0,0.0,0
9,7,25.2,37.0,5.0,0.0,0
8,2,21.4,50.0,2.0,0.0,0
12,7,8.7,89.0,4.0,0.0,0
4,3,10.6,56.0,1.0,0.0,0
11,3,9.6,87.0,2.0,0.0,0
9,4,14.5,80.0,1.0,0.0,0
3,5,4.3,89.0,2.0,0.1,0
10,2,17.8,41.0,1.0,0.0,0
7,4,24.2,34.0,3.0,0.0,0
2,3,2.8,58.0,1.0,0.0,0
6,5,29.8,39.0,1.0,0.0,0
9,5,30.4,30.0,3.0,0.0,0
8,5,17.4,71.0,2.0,0.0,0
12,5,7.1,92.0,0.0,0.0,0
10,4,31.6,18.0,2.0,0.0,0
11,3,3.5,75.0,0.0,0.0,0
10,1,9.7,45.0,3.0,0.0,0
1,6,5.6,67.0,3.0,0.0,0
7,5,31.0,18.0,5.0,0.0,0
5,6,10.2,97.0,0.0,0.0,0
6,5,26.4,42.0,3.0,0.0,0
6,4,14.5,51.0,4.0,0.0,0
11,4,9.8,92.0,1.0,1.0,0
10,6,8.4,69.0,0.0,0.0,0
12,5,11.3,49.0,1.0,0.0,0
1,2,6.4,98.0,0.0,0.0,0
12,1,4.1,93.0,0.0,0.0,0
1,2,-1.6,96.0,0.0,0.0,0
6,4,27.3,39.0,5.0,0.0,0
2,5,3.0,87.0,3.0,0.0,0
6,4,34.6,24.0,2.0,0.0,0
4,6,6.1,82.0,1.0,0.0,0
11,6,3.9,85.0,1.0,0.0,0
2,2,-0.2,76.0,1.0,0.0,0
8,4,18.5,52.0,2.0,0.0,0
10,4,6.1,70.0,0.0,0.0,0
2,3,-3.0,96.0,3.0,3.0,0
3,7,5.9,88.0,1.0,8.0,0
6,6,17.7,54.0,4.0,0.0,0
12,1,2.7,99.0,0.0,0.0,0
11,5,6.6,90.0,4.0,0.0,0
8,2,24.6,32.0,3.0,0.0,0
8,5,28.7,23.0,2.0,0.0,0
9,6,25.8,39.0,2.0,0.0,0
12,6,11.4,87.0,2.0,0.0,0
6,7,23.1,38.0,1.0,0.0,0
1,4,-0.2,80.0,1.0,0.0,0
1,2,5.3,96.0,2.0,0.0,0
